City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Latitude,Longitude
Busselton,100,AU,1562767017,63,52.0,10.47,-33.64,115.35
Bontang,66,ID,1562767180,92,74.21,3.4,0.12,117.47
Bethel,1,US,1562766578,93,60.8,4.7,60.79,-161.76
Barrow,0,AR,1562766942,59,55.49,2.84,-38.31,-60.23
Castro,75,CL,1562766921,100,46.4,10.29,-42.48,-73.76
Jamestown,31,AU,1562766925,90,49.19,17.16,-33.21,138.6
Kieta,100,PG,1562767183,73,78.53,13.35,-6.22,155.63
Isangel,0,VU,1562766974,76,72.41,15.73,-19.55,169.27
Beringovskiy,0,RU,1562766970,77,51.17,2.28,63.05,179.32
Arraial do Cabo,0,BR,1562767028,56,73.4,13.87,-22.97,-42.02
Georgetown,40,GY,1562766926,83,84.2,9.17,6.8,-58.16
Mayahi,82,NE,1562767205,31,94.37,3.85,13.95,7.67
Hithadhoo,82,MV,1562766947,72,84.83,9.57,-0.6,73.08
Punta Arenas,90,CL,1562766751,100,37.0,3.36,-53.16,-70.91
Geraldton,90,CA,1562767002,88,62.6,8.05,49.72,-86.95
Rikitea,53,PF,1562767015,80,72.95,22.77,-23.12,-134.97
Dalbandin,0,PK,1562767208,6,96.71,9.06,28.9,64.41
Saskylakh,33,RU,1562766973,61,56.39,4.9,71.97,114.09
Hobart,75,AU,1562766819,54,53.6,14.99,-42.88,147.33
Puerto Ayora,75,EC,1562766908,78,71.6,11.41,-0.74,-90.35
Khatanga,7,RU,1562766920,61,55.49,3.85,71.98,102.47
Hualmay,100,PE,1562767006,82,62.69,5.82,-11.1,-77.61
Alferrarede,0,PT,1562767211,25,100.0,3.0,39.48,-8.18
Juruti,41,BR,1562767212,93,77.09,2.21,-2.16,-56.09
Kaitangata,2,NZ,1562766920,68,39.0,8.99,-46.28,169.85
Mareeba,90,AU,1562767213,83,71.6,9.17,-16.99,145.42
Bredasdorp,0,ZA,1562766912,52,69.8,5.82,-34.53,20.04
Shirokiy,18,RU,1562767214,78,63.77,8.37,53.87,39.17
Muskogee,1,US,1562767215,74,84.99,4.59,35.75,-95.37
La Ronge,20,CA,1562766652,81,53.6,5.06,55.1,-105.3
Victoria,75,BN,1562767018,78,82.4,1.12,5.28,115.24
Palmaner,100,IN,1562767216,50,81.95,11.77,13.2,78.75
Akureyri,0,IS,1562767204,67,57.2,9.17,65.68,-18.09
San Patricio,100,PY,1562766950,68,67.37,7.45,-26.98,-56.83
Sistranda,20,NO,1562767218,76,57.0,13.87,63.73,8.83
Bodegraven,90,NL,1562767218,87,69.01,3.36,52.08,4.75
Mataura,90,NZ,1562767016,92,45.95,5.75,-46.19,168.86
Ponta do Sol,0,BR,1562766902,41,70.25,1.48,-20.63,-46.0
Masuda,90,JP,1562767220,94,73.4,8.05,34.68,131.85
Kupang,0,ID,1562767220,71,76.73,16.35,-10.16,123.6
Luderitz,0,NA,1562766774,12,87.8,8.05,-26.65,15.16
Kangaatsiaq,30,GL,1562767221,92,42.35,13.33,68.31,-53.46
Vaini,75,IN,1562767026,94,71.6,9.17,15.34,74.49
Te Anau,93,NZ,1562767222,88,44.33,1.92,-45.41,167.72
Ilulissat,90,GL,1562766946,93,41.0,4.7,69.22,-51.1
Videbaek,0,DK,1562767223,45,68.0,12.75,56.09,8.63
Narsaq,40,GL,1562766975,50,55.4,12.75,60.91,-46.05
Twentynine Palms,1,US,1562767224,37,81.0,5.82,34.14,-116.05
Sitka,0,US,1562766912,86,79.0,1.01,37.17,-99.65
Lebu,20,ET,1562767025,60,68.0,8.05,8.96,38.73
Muyezerskiy,100,RU,1562767225,59,49.19,11.59,63.93,31.65
Anadyr,0,RU,1562767226,87,48.2,6.71,64.73,177.51
Dayong,20,CN,1562767226,79,84.2,2.24,25.02,118.29
Avarua,100,CK,1562766745,100,64.4,2.24,-21.21,-159.78
Iqaluit,40,CA,1562767227,81,50.0,3.36,63.75,-68.52
Hilo,1,US,1562767019,88,73.4,4.7,19.71,-155.08
Upernavik,0,GL,1562766923,81,42.71,16.44,72.79,-56.15
Yellowknife,75,CA,1562766918,87,51.8,2.24,62.45,-114.38
Codrington,0,AU,1562766960,87,52.0,8.05,-28.95,153.24
Mount Gambier,40,AU,1562767021,81,48.2,19.46,-37.83,140.78
Butaritari,100,KI,1562766900,70,83.75,1.34,3.07,172.79
Charters Towers,100,AU,1562767230,89,64.85,4.83,-20.07,146.27
Salalah,90,OM,1562767230,83,84.2,12.75,17.01,54.1
Kaeo,81,NZ,1562767231,95,55.0,9.15,-35.1,173.78
Mar del Plata,76,AR,1562766913,85,45.41,13.13,-46.43,-67.52
Silleda,0,ES,1562767232,45,86.0,2.24,42.7,-8.25
Kedainiai,75,LT,1562767232,72,64.4,9.17,55.29,23.97
Coracora,0,PE,1562767233,25,58.73,6.55,-15.02,-73.78
Aklavik,90,CA,1562767233,72,60.8,10.29,68.22,-135.01
Fairbanks,90,US,1562766769,76,66.0,1.9,64.84,-147.72
Ushuaia,0,AR,1562767020,100,35.6,3.22,-54.81,-68.31
Mahebourg,20,MU,1562766947,73,77.0,8.05,-20.41,57.7
Tasiilaq,75,GL,1562766905,75,44.6,5.82,65.61,-37.64
New Norfolk,75,AU,1562766779,54,53.6,14.99,-42.78,147.06
Qaanaaq,20,GL,1562766906,77,40.19,3.51,77.48,-69.36
Kamiiso,8,JP,1562767236,97,52.43,2.75,41.82,140.65
Namibe,40,AO,1562767237,64,75.2,11.41,-15.19,12.15
Taramangalam,100,IN,1562767237,58,82.49,7.0,11.7,77.98
Yulara,6,AU,1562766914,32,53.6,8.05,-25.24,130.99
Lavrentiya,0,RU,1562767239,61,56.21,4.63,65.58,-170.99
Cockburn Town,100,TC,1562767239,82,82.49,20.89,21.46,-71.14
College,90,US,1562767024,76,66.0,1.9,64.86,-147.8
Atuona,1,PF,1562767020,77,79.61,20.67,-9.8,-139.03
Svetlogorsk,40,RU,1562767241,60,73.4,8.95,53.14,59.15
Gemena,100,CD,1562767242,93,74.93,5.44,3.25,19.78
Cape Town,0,ZA,1562766679,59,68.0,4.7,-33.93,18.42
Aksarka,86,RU,1562767242,52,61.79,13.42,66.56,67.8
Komsomolskiy,88,RU,1562766940,72,58.55,11.95,67.55,63.78
Los Llanos de Aridane,40,ES,1562766910,65,77.0,9.17,28.66,-17.92
Kapaa,75,US,1562767023,78,80.6,11.41,22.08,-159.32
Port Elizabeth,1,US,1562766961,78,82.99,5.82,39.31,-74.98
Cherskiy,0,RU,1562766907,48,67.37,7.34,68.75,161.3
Bambanglipuro,0,ID,1562767245,81,76.55,18.66,-7.95,110.28
Cidreira,100,BR,1562766942,60,63.59,4.85,-30.17,-50.22
Bambous Virieux,20,MU,1562766962,73,77.0,8.05,-20.34,57.76
Bluff,99,AU,1562767016,81,61.43,4.5,-23.58,149.07
Fare,40,PF,1562767247,74,77.09,10.22,-16.7,-151.02
Nikolskoye,40,RU,1562766927,42,66.2,11.18,59.7,30.79
Saint-Francois,0,FR,1562767248,30,82.0,8.05,46.42,3.91
Xining,100,CN,1562767249,66,51.71,5.59,36.62,101.77
Bushehr,0,IR,1562767249,50,102.2,9.17,28.97,50.84
Saint-Philippe,1,CA,1562766941,61,77.0,5.84,45.36,-73.48
Labuhan,19,ID,1562767003,95,71.15,2.33,-2.54,115.51
Chuy,100,UY,1562766920,66,57.11,2.55,-33.69,-53.46
Los Andes,100,CL,1562767227,100,53.01,2.24,-32.83,-70.6
Mocuba,9,MZ,1562767251,81,68.27,3.96,-16.84,36.99
Dikson,100,RU,1562766944,97,31.73,9.17,73.51,80.55
Sao Filipe,1,CV,1562767019,82,73.85,19.55,14.9,-24.5
Villamontes,20,BO,1562767252,77,62.6,4.65,-21.26,-63.47
Tiznit,0,MA,1562766845,86,67.73,13.27,29.7,-9.73
Linxia,100,CN,1562767253,62,57.11,2.77,35.6,103.21
Alta Floresta,0,BR,1562767254,69,82.4,4.7,-9.87,-56.08
Kawalu,100,ID,1562767254,92,67.55,3.74,-7.38,108.21
Lopatino,18,RU,1562767255,78,63.77,8.37,53.85,39.47
Tabou,100,CI,1562766949,66,80.69,7.74,4.42,-7.36
Alofi,52,NU,1562766936,100,73.4,1.12,-19.06,-169.92
Hermanus,0,ZA,1562766930,63,68.0,1.99,-34.42,19.24
South Yuba City,1,US,1562767256,93,64.4,2.39,39.12,-121.64
Batemans Bay,0,AU,1562766913,92,55.0,10.0,-35.71,150.18
Kenda,0,DZ,1562767257,10,100.4,5.82,35.66,5.57
Fortuna,90,US,1562766977,93,63.0,9.01,40.6,-124.16
Maceio,75,BR,1562767258,74,80.6,9.17,-9.67,-35.74
Norman Wells,75,CA,1562766874,76,51.8,6.93,65.28,-126.83
Manadhoo,100,MV,1562766991,70,83.39,8.1,5.77,73.38
Whitecourt,90,CA,1562767260,93,51.8,4.7,54.14,-115.68
Kungurtug,98,RU,1562767260,48,64.85,4.07,50.6,97.53
Thompson,20,CA,1562766925,62,57.2,3.36,55.74,-97.86
Liepaja,68,LV,1562767261,77,62.6,5.82,56.52,21.02
Port Alfred,0,ZA,1562767019,79,64.0,3.0,-33.59,26.89
Changji,0,CN,1562767262,80,71.15,5.39,32.07,116.17
Monrovia,75,LR,1562766917,74,84.2,13.87,6.33,-10.8
Aykhal,40,RU,1562767104,37,71.6,2.24,65.95,111.51
Ust-Nera,100,RU,1562766982,88,54.05,3.67,64.57,143.24
Albany,1,US,1562766800,88,78.01,2.71,42.65,-73.75
Hamilton,75,CA,1562766935,73,81.0,3.36,43.26,-79.87
Amahai,100,ID,1562767265,96,80.01,12.84,-3.31,129.0
San Cristobal,85,HN,1562767265,65,76.73,6.11,14.68,-86.92
Lerwick,90,GB,1562767266,93,57.2,11.41,60.15,-1.15
Itarema,24,BR,1562767266,48,88.79,9.08,-2.92,-39.92
Waddan,0,LY,1562767267,9,104.27,7.72,29.16,16.14
Salisbury,75,GB,1562767171,56,77.0,8.05,51.07,-1.8
Kodiak,1,US,1562767024,74,84.2,9.17,39.95,-94.76
Severo-Kurilsk,42,RU,1562766925,94,43.61,16.46,50.68,156.12
Pouembout,1,NC,1562766990,70,66.83,7.56,-21.12,164.9
Port Hardy,90,CA,1562766954,100,57.2,9.17,50.7,-127.42
Hoquiam,90,US,1562767001,100,62.01,8.05,46.98,-123.89
Saldanha,0,PT,1562767025,22,90.05,2.3,41.42,-6.55
Longyearbyen,75,NO,1562766736,81,48.2,8.05,78.22,15.63
Poum,75,MK,1562767272,60,73.4,5.82,41.28,20.71
Yar-Sale,61,RU,1562767272,50,55.13,15.48,66.83,70.83
Lasa,20,CY,1562766915,66,87.8,8.05,34.92,32.53
Bartlesville,40,US,1562767212,78,86.0,4.16,36.75,-95.98
Zafra,0,ES,1562767273,23,93.99,6.93,38.43,-6.42
Grand Gaube,20,MU,1562767274,73,77.0,8.05,-20.01,57.66
Bogorodskoye,84,RU,1562767275,91,52.61,7.09,52.37,140.44
Bahia Blanca,79,AR,1562767087,60,54.05,3.29,-38.72,-62.27
Minsk,40,BY,1562766976,67,62.6,11.18,53.9,27.56
Nong Chik,0,TH,1562767276,77,84.29,7.02,6.84,101.18
Rognan,40,NO,1562767277,76,61.0,11.41,67.1,15.4
Brooks,99,CA,1562767277,72,61.0,8.99,50.57,-111.89
Klaksvik,75,FO,1562766974,87,51.8,14.99,62.23,-6.59
Vostok,0,RU,1562767279,89,63.05,2.89,46.45,135.83
Port Hawkesbury,1,CA,1562767279,68,70.0,11.41,45.62,-61.36
Hami,100,CN,1562766926,23,86.09,13.31,42.84,93.51
Longonjo,33,AO,1562767280,10,77.09,4.14,-12.91,15.25
Atambua,0,ID,1562766982,73,76.73,14.76,-9.11,124.89
Deming,90,US,1562767281,23,79.0,10.29,32.27,-107.76
Porto Belo,20,BR,1562767282,87,69.01,13.87,-27.15,-48.54
Sotouboua,39,TG,1562767282,74,82.31,4.54,8.56,0.98
Carnarvon,0,ZA,1562766948,18,67.55,10.92,-30.97,22.13
Fukue,75,JP,1562767019,78,78.01,10.29,35.03,136.69
Ouahigouya,60,BF,1562767284,40,90.23,8.23,13.58,-2.42
Takoradi,54,GH,1562767285,67,82.31,10.85,4.89,-1.75
Kendal,20,ID,1562767285,51,82.4,4.7,-6.92,110.2
Zyryanka,52,RU,1562767286,67,66.65,9.26,65.73,150.89
Mayo,40,CA,1562767286,61,50.0,0.65,63.59,-135.9
Hasilpur,0,PK,1562767287,22,106.07,9.78,29.69,72.55
Torbay,90,CA,1562766936,87,59.0,4.7,47.66,-52.73
Tuktoyaktuk,90,CA,1562766923,76,57.2,3.36,69.44,-133.03
Dunedin,0,NZ,1562766931,80,46.0,5.99,-45.87,170.5
Coxim,0,BR,1562767289,31,83.75,6.87,-18.5,-54.75
East London,20,ZA,1562766731,72,66.2,14.99,-33.02,27.91
Canchungo,75,GW,1562767290,59,89.6,9.17,12.07,-16.03
Lima,90,PE,1562766804,87,60.8,2.24,-12.06,-77.04
Uige,74,AO,1562767291,28,84.83,5.99,-7.61,15.06
Kampot,20,KH,1562767292,83,82.4,4.7,10.62,104.18
Khani,0,GE,1562767292,43,87.8,8.05,41.96,42.96
Zupanja,40,HR,1562767293,40,73.0,5.82,45.08,18.7
Talara,0,PE,1562767294,290,62.6,13.87,-4.58,-81.27
Ribeira Grande,20,PT,1562767015,78,75.2,13.87,38.52,-28.7
Manggar,0,ID,1562767295,88,75.65,4.56,-2.88,108.27
Tokur,99,RU,1562766995,95,59.99,3.58,53.13,132.9
Omboue,0,GA,1562767020,82,73.67,8.88,-1.57,9.26
Ambilobe,76,MG,1562767296,86,75.83,5.5,-13.19,49.05
Evensk,12,RU,1562766989,63,61.79,8.48,61.92,159.24
Alugan,32,PH,1562767297,94,75.47,3.15,12.22,125.48
Haines Junction,31,CA,1562767298,60,57.47,1.1,60.75,-137.51
Flin Flon,20,CA,1562767298,71,57.2,2.24,54.77,-101.88
Chunoyar,61,RU,1562767299,91,65.03,15.48,57.45,97.32
Gladstone,90,AU,1562767282,82,64.4,3.36,-23.84,151.26
Rio Claro,0,BR,1562767210,45,77.0,3.83,-22.41,-47.56
Kruisfontein,16,ZA,1562767300,88,56.21,3.85,-34.0,24.73
Nouadhibou,0,MR,1562767012,54,78.8,16.11,20.93,-17.03
Kamenka,19,MD,1562767301,60,66.99,7.0,48.03,28.7
Sijunjung,78,ID,1562767302,96,68.81,1.41,-0.69,100.95
Sola,42,TZ,1562767302,27,84.65,6.93,-3.17,33.8
Barabinsk,0,RU,1562767303,84,61.25,5.75,55.35,78.35
Diofior,0,SN,1562767303,62,84.2,13.87,14.19,-16.66
Arrifes,20,PT,1562767304,83,71.6,6.93,37.77,-25.7
Kavieng,100,PG,1562767304,69,82.67,3.62,-2.57,150.8
Yukuhashi,75,JP,1562767306,83,79.0,19.46,33.72,130.98
Toora-Khem,7,RU,1562767306,92,57.29,6.4,52.47,96.11
Port-Gentil,90,GA,1562767307,78,78.8,11.41,-0.72,8.78
Kiunga,61,PG,1562767307,98,71.15,2.77,-6.12,141.3
Saryozek,0,KZ,1562767308,34,77.45,13.42,44.36,77.98
Ayan,10,IR,1562767308,46,66.11,9.44,38.23,44.7
Steinbach,90,CA,1562767310,88,68.0,17.22,49.53,-96.69
Antalaha,70,MG,1562767310,95,67.01,1.77,-14.9,50.28
Hovd,20,NO,1562767311,72,63.0,8.05,63.83,10.7
Koslan,100,RU,1562767311,96,46.31,12.62,63.46,48.9
Saint-Louis,58,SN,1562767312,79,74.39,10.78,16.03,-16.5
La Ciotat,0,FR,1562767312,29,91.4,14.99,43.17,5.6
Maumere,29,ID,1562767313,66,72.95,6.73,-8.63,122.22
Vila Franca do Campo,20,PT,1562767313,83,71.6,6.93,37.72,-25.43
Anjiang,47,CN,1562767314,87,71.33,1.97,27.32,110.14
Namatanai,100,PG,1562767314,81,78.53,14.43,-3.66,152.44
Crib Point,100,AU,1562767315,77,51.01,34.02,-38.35,145.2
Neiafu,75,TO,1562767315,100,73.4,7.16,-18.65,-173.98
Harper,1,US,1562767316,83,81.0,4.7,30.3,-99.24
Yumen,100,CN,1562767316,18,80.87,9.64,40.29,97.04
Borovoy,100,RU,1562767317,98,55.49,4.85,63.23,52.89
Adwa,100,ET,1562767318,76,66.65,8.88,14.16,38.9
Contramaestre,75,CU,1562767318,88,82.4,3.36,20.3,-76.25
Sinj,0,HR,1562767318,44,81.0,17.22,43.7,16.64
Manoel Urbano,0,BR,1562767319,45,88.79,0.92,-8.84,-69.26
Constitucion,20,MX,1562767320,82,64.99,10.42,23.99,-104.67
Shingu,100,JP,1562767320,97,64.13,7.85,33.72,135.99
Faya,40,SA,1562767321,21,84.2,10.29,18.39,42.45
Pangkalanbuun,20,ID,1562767321,95,73.13,3.8,-2.68,111.62
Zyryanovsk,0,KZ,1562767225,81,55.31,8.7,49.74,84.27
Waslala,75,NI,1562767323,66,78.53,3.67,13.33,-85.37
Saint George,20,GR,1562767323,41,91.4,9.17,39.45,22.34
Tilichiki,55,RU,1562767324,85,50.09,1.88,60.47,166.1
Mabaruma,3,GY,1562767324,92,79.43,4.63,8.2,-59.78
Aripuana,0,BR,1562767325,43,88.43,5.46,-9.17,-60.63
Putina,0,PE,1562767325,74,33.8,2.24,-14.91,-69.87
Leningradskiy,9,RU,1562767326,72,43.79,5.21,69.38,178.42
Fort Beaufort,0,ZA,1562767326,44,64.85,6.49,-32.78,26.63
Muros,0,ES,1562767327,45,87.01,2.24,42.77,-9.06
Ballina,75,IE,1562767327,82,66.0,14.99,54.11,-9.15
Laguna,20,BZ,1562767328,88,82.4,2.37,16.17,-88.94
Ridgecrest,0,US,1562767166,34,79.0,3.24,35.62,-117.67
Pokosnoye,36,RU,1562767329,64,65.39,5.17,55.53,101.05
Jingdezhen,0,CN,1562767330,94,69.89,1.39,29.29,117.2
Rio Gallegos,40,AR,1562767237,100,33.8,1.12,-51.62,-69.22
Ugoofaaru,100,MV,1562767331,67,83.75,6.13,5.67,73.0
Broome,40,GB,1562767331,57,79.0,9.17,52.47,1.45
Kjopsvik,0,NO,1562767332,59,64.4,8.05,68.1,16.37
Kamaishi,23,JP,1562767333,93,48.47,0.72,39.28,141.86
Voskresenskoye,100,RU,1562767333,69,62.69,8.95,56.84,45.43
Dingle,91,PH,1562767334,86,74.93,2.62,11.0,122.67
Pokhara,100,NP,1562767334,92,58.19,2.26,28.21,83.99
Riyadh,0,SA,1562767230,6,109.4,12.75,24.63,46.72
Marzuq,91,YE,1562767335,20,88.61,9.01,14.4,46.47
Balurghat,100,IN,1562767336,86,82.85,6.31,25.22,88.78
Chickasha,1,US,1562767336,78,84.99,6.93,35.05,-97.94
Avera,90,US,1562767054,94,82.99,5.82,33.19,-82.53
Tarrafal,20,CV,1562767337,51,84.2,18.34,15.28,-23.77
Leshukonskoye,100,RU,1562767338,95,45.41,12.44,64.9,45.76
Faanui,56,PF,1562767338,70,76.91,8.81,-16.48,-151.75
